"subject_num","picture","ans","correct"
72,"Q2.af_edited_hu_1",2,1
72,"Q2.as_edited_ob_1",2,1
72,"Q2.isr_edited_hu_1",2,1
72,"Q2.Isr_unedited_2",2,0
72,"Q2.as_unedited_1",1,0
73,"Q2.af_edited_hu_1",2,1
73,"Q2.as_edited_ob_1",2,1
73,"Q2.sa_unedited_1",2,0
74,"Q2.af_edited_hu_1",2,1
74,"Q2.sa_edited_ob_1",2,1
74,"Q2.isr_edited_hu_1",2,1
74,"Q2.sa_unedited_1",2,0
75,"Q2.sa_edited_ob_1",2,1
75,"Q2.isr_edited_hu_1",1,1
75,"Q2.as_unedited_1",2,0
75,"Q2.af_unedited_1",2,0
76,"Q2.Isr_edited_ob_5",1,1
76,"Q2.af_edited_hu_1",2,1
76,"Q2.sa_edited_ob_1",2,1
76,"Q2.isr_edited_hu_2",2,1
76,"Q2.Isr_unedited_1",2,0
76,"Q2.Isr_unedited_3",2,0
76,"Q2.af_unedited_1",1,0
77,"Q2.Isr_edited_ob_5",2,1
77,"Q2.na_edited_hu_1",2,1
77,"Q2.Isr_unedited_1",1,0
77,"Q2.Isr_unedited_3",1,0
77,"Q2.na_unedited_1",1,0
78,"Q2.sa_edited_ob_1",2,1
78,"Q2.isr_edited_hu_2",2,1
78,"Q2.Isr_unedited_4",1,0
78,"Q2.na_unedited_1",2,0
79,"Q2.na_edited_hu_1",1,1
79,"Q2.sa_unedited_1",2,0
79,"Q2.Isr_unedited_3",2,0
80,"Q2.Isr_edited_ob_5",2,1
80,"Q2.af_edited_hu_1",2,1
80,"Q2.as_edited_ob_1",2,1
80,"Q2.isr_edited_hu_1",1,1
80,"Q2.Isr_unedited_3",2,0
80,"Q2.af_unedited_1",1,0
81,"Q2.af_edited_hu_1",2,1
81,"Q2.as_edited_ob_1",1,1
81,"Q2.isr_edited_hu_2",1,1
81,"Q2.Isr_unedited_1",2,0
81,"Q2.sa_unedited_1",1,0
82,"Q2.af_edited_hu_1",2,1
82,"Q2.as_edited_ob_1",1,1
82,"Q2.isr_edited_hu_1",2,1
82,"Q2.sa_unedited_1",2,0
83,"Q2.na_edited_hu_1",2,1
83,"Q2.isr_edited_hu_2",2,1
84,"Q2.na_edited_hu_1",2,1
84,"Q2.isr_edited_hu_2",2,1
84,"Q2.Isr_unedited_2",2,0
84,"Q2.na_unedited_1",2,0
85,"Q2.sa_edited_ob_1",2,1
85,"Q2.as_unedited_1",2,0
85,"Q2.Isr_unedited_4",2,0
86,"Q2.af_edited_hu_1",1,1
86,"Q2.sa_edited_ob_1",2,1
86,"Q2.sa_unedited_1",1,0
